"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"01 Stockholms län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Blandsäd","Areal, hektar","Värde",240,150,130,150,130
"01 Stockholms län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Majs","Areal, hektar","Värde",..,0,..,..,0
"01 Stockholms län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Spannmål totalt","Areal, hektar","Värde",27990,27650,27410,26800,27990
"01 Stockholms län","Spannmål totalt","Totalskörd, ton","Värde",124700,152000,99000,123500,151200
"01 Stockholms län","Ärter","Areal, hektar","Värde",1510,1430,1710,1500,1340
"01 Stockholms län","Ärter","Totalskörd, ton","Värde",3000,5000,3100,4100,3600
"01 Stockholms län","Åkerbönor","Areal, hektar","Värde",180,140,80,110,100
"01 Stockholms län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Höstraps","Areal, hektar","Värde",2070,2020,2500,1510,1350
"01 Stockholms län","Höstraps","Totalskörd, ton","Värde",6100,4700,4500,5200,4200
"01 Stockholms län","Vårraps","Areal, hektar","Värde",480,1160,1000,1430,950
"01 Stockholms län","Vårraps","Totalskörd, ton","Värde",..,3000,2100,3000,1900
"01 Stockholms län","Höstrybs","Areal, hektar","Värde",40,30,60,30,40
"01 Stockholms län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Vårrybs","Areal, hektar","Värde",..,..,10,20,..
"01 Stockholms län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",420,510,1100,550,1040
"01 Stockholms län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",..,..,2000,..,..
"01 Stockholms län","Majs till grönfoder","Areal, hektar","Värde",70,70,30,30,140
"01 Stockholms län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",120,150,430,250,180
"01 Stockholms län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Oljelin","Areal, hektar","Värde",370,400,490,230,220
"01 Stockholms län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Matpotatis","Areal, hektar","Värde",90,80,80,70,70
"01 Stockholms län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Potatis för stärkelse","Areal, hektar","Värde",..,..,..,..,..
"01 Stockholms län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"01 Stockholms län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Slåttervall, första skörd","Areal, hektar","Värde",20430,21140,25010,21140,26460
"01 Stockholms län","Slåttervall, första skörd","Totalskörd, ton","Värde",72900,49500,42300,60200,67200
"01 Stockholms län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"01 Stockholms län","Slåttervall, återväxt","Totalskörd, ton","Värde",..,..,..,..,..
"01 Stockholms län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"01 Stockholms län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",84300,54700,71000,70500,96100
"03 Uppsala län","Höstvete","Areal, hektar","Värde",42880,44490,41750,38550,47820
"03 Uppsala län","Höstvete","Totalskörd, ton","Värde",279600,267700,204200,226700,349800
"03 Uppsala län","Vårvete","Areal, hektar","Värde",6350,5740,8910,10200,7250
"03 Uppsala län","Vårvete","Totalskörd, ton","Värde",22100,26000,21300,35100,31700
"03 Uppsala län","Råg","Areal, hektar","Värde",620,630,700,300,580
"03 Uppsala län","Råg","Totalskörd, ton","Värde",3200,..,..,..,..
"03 Uppsala län","Höstkorn","Areal, hektar","Värde",780,750,420,430,700
"03 Uppsala län","Höstkorn","Totalskörd, ton","Värde",..,3600,..,..,..
"03 Uppsala län","Vårkorn","Areal, hektar","Värde",23070,21240,21910,23200,17750
"03 Uppsala län","Vårkorn","Totalskörd, ton","Värde",75500,101100,51700,79300,93800
"03 Uppsala län","Havre","Areal, hektar","Värde",8150,7140,6790,7750,6760
"03 Uppsala län","Havre","Totalskörd, ton","Värde",22600,29600,15000,24100,29500
"03 Uppsala län","Rågvete","Areal, hektar","Värde",700,730,820,440,1070
"03 Uppsala län","Rågvete","Totalskörd, ton","Värde",..,3600,1600,..,6500
