"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"06 Jönköpings län","Vårrybs","Areal, hektar","Värde",..,..,..,..,..
"06 Jönköpings län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",3160,3470,6260,3520,1660
"06 Jönköpings län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",10500,12200,19800,11700,5500
"06 Jönköpings län","Majs till grönfoder","Areal, hektar","Värde",140,220,260,390,1630
"06 Jönköpings län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",2990,2950,4660,3760,2820
"06 Jönköpings län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",11400,12700,15000,17900,5900
"06 Jönköpings län","Oljelin","Areal, hektar","Värde",..,..,..,..,..
"06 Jönköpings län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Matpotatis","Areal, hektar","Värde",70,80,80,70,70
"06 Jönköpings län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Potatis för stärkelse","Areal, hektar","Värde",..,..,..,..,..
"06 Jönköpings län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"06 Jönköpings län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"06 Jönköpings län","Slåttervall, första skörd","Areal, hektar","Värde",55420,57370,54980,55700,54220
"06 Jönköpings län","Slåttervall, första skörd","Totalskörd, ton","Värde",186200,189600,113100,163400,169300
"06 Jönköpings län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"06 Jönköpings län","Slåttervall, återväxt","Totalskörd, ton","Värde",158900,116100,188800,174900,130600
"06 Jönköpings län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"06 Jönköpings län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",345000,305700,301900,338300,300000
"07 Kronobergs län","Höstvete","Areal, hektar","Värde",820,1140,1280,1340,1220
"07 Kronobergs län","Höstvete","Totalskörd, ton","Värde",..,..,5900,6600,7100
"07 Kronobergs län","Vårvete","Areal, hektar","Värde",420,360,260,170,120
"07 Kronobergs län","Vårvete","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Råg","Areal, hektar","Värde",90,90,30,170,100
"07 Kronobergs län","Råg","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Höstkorn","Areal, hektar","Värde",110,60,40,50,90
"07 Kronobergs län","Höstkorn","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Vårkorn","Areal, hektar","Värde",3410,3560,2880,3670,3510
"07 Kronobergs län","Vårkorn","Totalskörd, ton","Värde",10800,17000,7700,14600,17500
"07 Kronobergs län","Havre","Areal, hektar","Värde",2080,1960,1290,1640,1990
"07 Kronobergs län","Havre","Totalskörd, ton","Värde",6200,7500,4100,6700,7900
"07 Kronobergs län","Rågvete","Areal, hektar","Värde",670,800,900,650,1020
"07 Kronobergs län","Rågvete","Totalskörd, ton","Värde",3100,4400,3600,3200,6200
"07 Kronobergs län","Höstrågvete","Areal, hektar","Värde",590,720,860,560,980
"07 Kronobergs län","Höstrågvete","Totalskörd, ton","Värde",2900,4000,3500,2800,6000
"07 Kronobergs län","Vårrågvete","Areal, hektar","Värde",80,80,40,80,40
"07 Kronobergs län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Blandsäd","Areal, hektar","Värde",100,120,30,200,90
"07 Kronobergs län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Majs","Areal, hektar","Värde",..,..,30,..,..
"07 Kronobergs län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Spannmål totalt","Areal, hektar","Värde",7700,8090,6740,7890,8150
"07 Kronobergs län","Spannmål totalt","Totalskörd, ton","Värde",27700,39600,22500,33200,40500
"07 Kronobergs län","Ärter","Areal, hektar","Värde",20,10,10,..,..
"07 Kronobergs län","Ärter","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Åkerbönor","Areal, hektar","Värde",..,40,20,30,..
"07 Kronobergs län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Höstraps","Areal, hektar","Värde",120,210,230,80,120
"07 Kronobergs län","Höstraps","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Vårraps","Areal, hektar","Värde",..,50,60,80,100
"07 Kronobergs län","Vårraps","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Höstrybs","Areal, hektar","Värde",..,..,..,..,..
"07 Kronobergs län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Vårrybs","Areal, hektar","Värde",40,40,..,..,..
"07 Kronobergs län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",1800,1060,2630,1280,1080
"07 Kronobergs län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",5700,3300,6900,4700,..
"07 Kronobergs län","Majs till grönfoder","Areal, hektar","Värde",100,180,130,170,770
"07 Kronobergs län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",1040,1010,1270,1300,960
"07 Kronobergs län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Oljelin","Areal, hektar","Värde",..,..,..,..,..
"07 Kronobergs län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Matpotatis","Areal, hektar","Värde",90,70,70,80,90
"07 Kronobergs län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Potatis för stärkelse","Areal, hektar","Värde",0,..,..,0,20
"07 Kronobergs län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"07 Kronobergs län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"07 Kronobergs län","Slåttervall, första skörd","Areal, hektar","Värde",29840,30150,27840,28500,29640
"07 Kronobergs län","Slåttervall, första skörd","Totalskörd, ton","Värde",83600,82000,61200,91300,100200
"07 Kronobergs län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"07 Kronobergs län","Slåttervall, återväxt","Totalskörd, ton","Värde",72000,..,88000,..,..
"07 Kronobergs län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"07 Kronobergs län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",155600,127700,149200,170500,174000
"08 Kalmar län","Höstvete","Areal, hektar","Värde",13070,12930,13510,13210,14430
"08 Kalmar län","Höstvete","Totalskörd, ton","Värde",72100,81100,81200,87600,100900
"08 Kalmar län","Vårvete","Areal, hektar","Värde",880,890,770,690,950
"08 Kalmar län","Vårvete","Totalskörd, ton","Värde",2700,3200,2000,2700,4000
"08 Kalmar län","Råg","Areal, hektar","Värde",680,810,1230,1460,1160
"08 Kalmar län","Råg","Totalskörd, ton","Värde",3400,4200,7100,8500,6600
"08 Kalmar län","Höstkorn","Areal, hektar","Värde",2660,2810,2480,2480,2800
"08 Kalmar län","Höstkorn","Totalskörd, ton","Värde",13400,14700,12800,14500,18900
"08 Kalmar län","Vårkorn","Areal, hektar","Värde",6220,6990,4710,5370,5580
"08 Kalmar län","Vårkorn","Totalskörd, ton","Värde",17100,25400,14000,21200,25700
"08 Kalmar län","Havre","Areal, hektar","Värde",1620,1610,990,1170,1520
"08 Kalmar län","Havre","Totalskörd, ton","Värde",3900,5200,3000,3800,7000
"08 Kalmar län","Rågvete","Areal, hektar","Värde",3710,3230,3010,3730,4550
"08 Kalmar län","Rågvete","Totalskörd, ton","Värde",16200,15600,12500,19600,27400
"08 Kalmar län","Höstrågvete","Areal, hektar","Värde",3630,3150,2990,3700,4500
"08 Kalmar län","Höstrågvete","Totalskörd, ton","Värde",15800,15300,12500,19500,27100
"08 Kalmar län","Vårrågvete","Areal, hektar","Värde",80,80,20,40,50
"08 Kalmar län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Blandsäd","Areal, hektar","Värde",170,840,140,80,290
"08 Kalmar län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Majs","Areal, hektar","Värde",300,270,200,430,690
"08 Kalmar län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Spannmål totalt","Areal, hektar","Värde",29300,30380,27050,28620,31960
"08 Kalmar län","Spannmål totalt","Totalskörd, ton","Värde",131500,153600,134800,161200,196400
"08 Kalmar län","Ärter","Areal, hektar","Värde",840,790,780,950,850
"08 Kalmar län","Ärter","Totalskörd, ton","Värde",2400,2400,2400,2700,3000
"08 Kalmar län","Åkerbönor","Areal, hektar","Värde",370,400,250,90,60
"08 Kalmar län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Höstraps","Areal, hektar","Värde",3310,4100,4170,3460,3880
"08 Kalmar län","Höstraps","Totalskörd, ton","Värde",10100,12800,10300,12000,14200
"08 Kalmar län","Vårraps","Areal, hektar","Värde",70,160,90,110,130
"08 Kalmar län","Vårraps","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Höstrybs","Areal, hektar","Värde",10,..,..,..,..
"08 Kalmar län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Vårrybs","Areal, hektar","Värde",..,..,..,..,..
"08 Kalmar län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",4670,2170,5790,2720,1830
"08 Kalmar län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",15700,7100,15300,9600,4700
"08 Kalmar län","Majs till grönfoder","Areal, hektar","Värde",5220,5090,6000,6640,7380
"08 Kalmar län","Majs till grönfoder","Totalskörd, ton","Värde",61900,43000,72600,85400,75800
"08 Kalmar län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",2820,2540,2810,2590,1020
"08 Kalmar län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",24700,..,21700,..,..
"08 Kalmar län","Oljelin","Areal, hektar","Värde",30,60,50,20,20
"08 Kalmar län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Matpotatis","Areal, hektar","Värde",420,420,430,460,520
"08 Kalmar län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Potatis för stärkelse","Areal, hektar","Värde",1000,930,890,960,1050
"08 Kalmar län","Potatis för stärkelse","Totalskörd, ton","Värde",40400,34400,39400,41400,46400
"08 Kalmar län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"08 Kalmar län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"08 Kalmar län","Slåttervall, första skörd","Areal, hektar","Värde",58130,57970,58660,57840,59510
"08 Kalmar län","Slåttervall, första skörd","Totalskörd, ton","Värde",200700,187800,120600,264800,233700
"08 Kalmar län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"08 Kalmar län","Slåttervall, återväxt","Totalskörd, ton","Värde",122000,58800,175100,274900,174700
"08 Kalmar län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"08 Kalmar län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",322800,246700,295700,539700,408400
"09 Gotlands län","Höstvete","Areal, hektar","Värde",13800,14280,15200,15190,17040
"09 Gotlands län","Höstvete","Totalskörd, ton","Värde",64200,86700,66500,89300,114500
"09 Gotlands län","Vårvete","Areal, hektar","Värde",3150,2250,2230,2810,2880
"09 Gotlands län","Vårvete","Totalskörd, ton","Värde",8700,9500,7300,9100,12300
"09 Gotlands län","Råg","Areal, hektar","Värde",1000,930,1260,1660,1920
"09 Gotlands län","Råg","Totalskörd, ton","Värde",3600,4400,4400,7700,9800
"09 Gotlands län","Höstkorn","Areal, hektar","Värde",3590,3260,3230,3150,3560
"09 Gotlands län","Höstkorn","Totalskörd, ton","Värde",14200,18400,13700,15400,22700
"09 Gotlands län","Vårkorn","Areal, hektar","Värde",8730,7880,7790,8000,6600
"09 Gotlands län","Vårkorn","Totalskörd, ton","Värde",24700,33100,19700,23300,34700
"09 Gotlands län","Havre","Areal, hektar","Värde",1130,760,690,710,570
"09 Gotlands län","Havre","Totalskörd, ton","Värde",2400,3000,1300,..,..
"09 Gotlands län","Rågvete","Areal, hektar","Värde",600,390,450,420,430
"09 Gotlands län","Rågvete","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Höstrågvete","Areal, hektar","Värde",530,380,420,360,400
"09 Gotlands län","Höstrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Vårrågvete","Areal, hektar","Värde",70,10,30,60,30
"09 Gotlands län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Blandsäd","Areal, hektar","Värde",300,120,40,250,250
"09 Gotlands län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Majs","Areal, hektar","Värde",80,80,160,50,140
"09 Gotlands län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Spannmål totalt","Areal, hektar","Värde",32380,29960,31050,32230,33390
"09 Gotlands län","Spannmål totalt","Totalskörd, ton","Värde",121700,157900,115600,150100,200200
"09 Gotlands län","Ärter","Areal, hektar","Värde",2360,2210,2540,2560,2210
"09 Gotlands län","Ärter","Totalskörd, ton","Värde",6400,7400,6300,6700,7500
"09 Gotlands län","Åkerbönor","Areal, hektar","Värde",240,330,370,190,190
"09 Gotlands län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Höstraps","Areal, hektar","Värde",3170,4770,4870,3590,3030
"09 Gotlands län","Höstraps","Totalskörd, ton","Värde",8100,14100,7200,9600,8300
"09 Gotlands län","Vårraps","Areal, hektar","Värde",660,1380,1000,1040,890
"09 Gotlands län","Vårraps","Totalskörd, ton","Värde",1400,3200,1800,2100,1800
"09 Gotlands län","Höstrybs","Areal, hektar","Värde",..,..,..,..,..
"09 Gotlands län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Vårrybs","Areal, hektar","Värde",..,..,..,..,..
"09 Gotlands län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",1840,1210,2320,1320,2050
"09 Gotlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",5100,..,5500,4800,5500
"09 Gotlands län","Majs till grönfoder","Areal, hektar","Värde",2640,2480,2580,2780,3890
"09 Gotlands län","Majs till grönfoder","Totalskörd, ton","Värde",38400,31100,31100,35200,45800
"09 Gotlands län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",640,700,1170,1100,240
"09 Gotlands län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Oljelin","Areal, hektar","Värde",..,..,..,..,..
"09 Gotlands län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Matpotatis","Areal, hektar","Värde",900,940,830,920,1030
"09 Gotlands län","Matpotatis","Totalskörd, ton","Värde",28800,..,25800,30500,35400
"09 Gotlands län","Potatis för stärkelse","Areal, hektar","Värde",10,20,..,..,10
"09 Gotlands län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"09 Gotlands län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"09 Gotlands län","Slåttervall, första skörd","Areal, hektar","Värde",30000,32510,29990,31150,32020
"09 Gotlands län","Slåttervall, första skörd","Totalskörd, ton","Värde",101700,122300,74100,116100,94800
"09 Gotlands län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"09 Gotlands län","Slåttervall, återväxt","Totalskörd, ton","Värde",61400,40300,51800,45900,83500
"09 Gotlands län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"09 Gotlands län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",163100,162600,126000,162000,178300
"10 Blekinge län","Höstvete","Areal, hektar","Värde",3930,3140,3890,3560,3570
"10 Blekinge län","Höstvete","Totalskörd, ton","Värde",25400,24300,24800,23100,25800
"10 Blekinge län","Vårvete","Areal, hektar","Värde",1060,1010,1090,1100,1300
"10 Blekinge län","Vårvete","Totalskörd, ton","Värde",5400,..,..,..,8500
"10 Blekinge län","Råg","Areal, hektar","Värde",110,130,150,170,200
"10 Blekinge län","Råg","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Höstkorn","Areal, hektar","Värde",540,400,440,600,390
"10 Blekinge län","Höstkorn","Totalskörd, ton","Värde",..,..,..,3100,..
"10 Blekinge län","Vårkorn","Areal, hektar","Värde",2600,2980,2810,2270,2720
"10 Blekinge län","Vårkorn","Totalskörd, ton","Värde",10300,15200,10200,10100,16200
"10 Blekinge län","Havre","Areal, hektar","Värde",570,500,410,600,510
"10 Blekinge län","Havre","Totalskörd, ton","Värde",..,..,..,2700,2800
"10 Blekinge län","Rågvete","Areal, hektar","Värde",550,540,460,430,700
"10 Blekinge län","Rågvete","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Höstrågvete","Areal, hektar","Värde",520,520,450,370,620
"10 Blekinge län","Höstrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Vårrågvete","Areal, hektar","Värde",30,20,10,60,80
"10 Blekinge län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Blandsäd","Areal, hektar","Värde",20,30,30,120,80
"10 Blekinge län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Majs","Areal, hektar","Värde",..,10,20,..,50
"10 Blekinge län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Spannmål totalt","Areal, hektar","Värde",9380,8730,9310,8840,9510
"10 Blekinge län","Spannmål totalt","Totalskörd, ton","Värde",49200,54200,47200,48800,61400
"10 Blekinge län","Ärter","Areal, hektar","Värde",90,140,90,80,40
"10 Blekinge län","Ärter","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Åkerbönor","Areal, hektar","Värde",70,60,70,30,..
"10 Blekinge län","Åkerbönor","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Höstraps","Areal, hektar","Värde",830,1290,1080,900,710
"10 Blekinge län","Höstraps","Totalskörd, ton","Värde",2700,4600,2700,3000,2700
"10 Blekinge län","Vårraps","Areal, hektar","Värde",40,60,100,20,50
"10 Blekinge län","Vårraps","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Höstrybs","Areal, hektar","Värde",..,..,..,..,..
"10 Blekinge län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Vårrybs","Areal, hektar","Värde",..,..,..,..,..
"10 Blekinge län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",330,240,560,720,430
"10 Blekinge län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Majs till grönfoder","Areal, hektar","Värde",750,810,830,920,900
"10 Blekinge län","Majs till grönfoder","Totalskörd, ton","Värde",..,9000,..,10100,..
"10 Blekinge län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",190,80,150,200,90
"10 Blekinge län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Oljelin","Areal, hektar","Värde",..,..,..,..,..
"10 Blekinge län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Matpotatis","Areal, hektar","Värde",50,60,70,50,60
"10 Blekinge län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Potatis för stärkelse","Areal, hektar","Värde",1940,1870,1530,1630,1780
"10 Blekinge län","Potatis för stärkelse","Totalskörd, ton","Värde",80200,75800,66000,70000,73900
"10 Blekinge län","Sockerbetor","Areal, hektar","Värde",330,329,270,251,200
"10 Blekinge län","Sockerbetor","Totalskörd, ton","Värde",23700,21100,15900,18500,15700
"10 Blekinge län","Slåttervall, första skörd","Areal, hektar","Värde",..,..,..,..,..
"10 Blekinge län","Slåttervall, första skörd","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"10 Blekinge län","Slåttervall, återväxt","Totalskörd, ton","Värde",..,..,..,..,..
"10 Blekinge län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"10 Blekinge län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",..,..,..,..,..
"11 f.d. Kristianstads län","Höstvete","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstvete","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårvete","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårvete","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Råg","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Råg","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstkorn","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstkorn","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårkorn","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårkorn","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Havre","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Havre","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Rågvete","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Rågvete","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstrågvete","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstrågvete","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårrågvete","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårrågvete","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Blandsäd","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Blandsäd","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Majs","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Majs","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Spannmål totalt","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Spannmål totalt","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Ärter","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Ärter","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Åkerbönor","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Åkerbönor","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstraps","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstraps","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårraps","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårraps","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstrybs","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Höstrybs","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårrybs","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Vårrybs","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Majs till grönfoder","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Majs till grönfoder","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Oljelin","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Oljelin","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Matpotatis","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Matpotatis","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Potatis för stärkelse","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Potatis för stärkelse","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Sockerbetor","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Sockerbetor","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, första skörd","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, första skörd","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, återväxt","Totalskörd, ton","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"11 f.d. Kristianstads län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",.,.,.,.,.
"12 Skåne län","Höstvete","Areal, hektar","Värde",104830,93020,105230,106160,108890
"12 Skåne län","Höstvete","Totalskörd, ton","Värde",786400,826600,704100,800400,946400
"12 Skåne län","Vårvete","Areal, hektar","Värde",3780,5080,4330,5440,5510
"12 Skåne län","Vårvete","Totalskörd, ton","Värde",17100,32700,16100,24500,35600
"12 Skåne län","Råg","Areal, hektar","Värde",11010,8520,10540,11910,12110
"12 Skåne län","Råg","Totalskörd, ton","Värde",63900,62700,58200,74200,81300
"12 Skåne län","Höstkorn","Areal, hektar","Värde",5470,4820,4480,5080,5170
"12 Skåne län","Höstkorn","Totalskörd, ton","Värde",33000,36500,25600,32400,38300
"12 Skåne län","Vårkorn","Areal, hektar","Värde",62300,65920,63900,61740,57910
"12 Skåne län","Vårkorn","Totalskörd, ton","Värde",322900,483500,249200,352200,427600
"12 Skåne län","Havre","Areal, hektar","Värde",12120,10170,9760,11220,10360
"12 Skåne län","Havre","Totalskörd, ton","Värde",53000,61000,31500,55500,61400
